"","NO2.N_mgN.L_epi","NO2.N_mgN.L_sed","NO3.N_mgN.L_epi","NO3.N_mgN.L_sed","SO4_mg.L_epi","SO4_mg.L_sed","SRP_ug.L_epi","SRP_ug.L_sed","TDN_mg.L_epi","TDN_mg.L_sed","TDP_ug.L_epi","TDP_ug.L_sed","TP_ug.L_epi","TP_ug.L_sed","DOY","PAR","DO_mg.L_avg_epi","DO_mg.L_avg_sed","pH_avg_epi","pH_avg_sed","temp_C_avg_epi","temp_C_avg_sed","thermo.depth"
"clc186",0.06,0.08,5.65,5.06,8.86,10.64,65.2,61.21,5.86,5.53,85.77,76.62,103.48,118.78,186,154.65,7.48,0.366666667,8.05,7.54,21.1995,17.835,3.79020225788086
"clc195",0.07,0.26,5.32,5.19,9.27,9.97,29.3,74.18,5.76,5.45,43.75,90.32,51.4,98.65,195,78.94,7.3675,0.31,8.2175,7.34,21.8255,18.534,9.25
"clc199",0.15,0.34,5.11,5.2,9.35,9.94,3.72,76.51,5.68,5.91,18.34,92.09,30.17,105.03,199,51.51,11,0,8.68,7.49,23.17933333,18.701,8.30410636210619
"clc206",0.05,0.1,4.78,5.12,9.38,9.66,1.59,76.24,5.47,5.75,14.33,94.65,29.34,108.47,206,76.87,9.633333333,0,8.74,7.56,22.284,18.919,9.25
"clc213",0.06,0.17,4.64,4.24,9.51,12.75,3.59,54,5.58,5,12,66.33,33.03,81.47,213,69.605,8.89,0,8.73,7.56,23.586,19.86633333,6.72070910843479
"clc222",0.12,0.32,4.23,3.47,9.83,10.39,1.93,21.41,4.35,3.78,11.62,29.31,29.7,52.75,222,35.995,10.68666667,0,8.79,7.73,23.04733333,20.13266667,15.2681997455756
"clc229",0.2,0.3,3.99,3.37,8.96,10.31,1.52,11.57,4.24,3.76,15.53,22.94,26.57,39.71,229,16.04,5.583333333,0,8.3,7.59,21.98533333,20.51933333,14.6702679850474
"cle186",0.05,0.03,5.63,5.43,8.75,11.4,24.61,29.15,5.65,5.57,41.59,52.72,68.65,83.72,186,93.91,11.49333333,4.771666667,8.533333333,7.825,21.65666667,19.88583333,7.31777624474897
"cle192",0.06,0.17,5.12,4.88,10.37,10.85,6.75,63.87,5.85,5.66,22.08,71.35,39.19,98.62,192,38.11,9.121428571,1.06,8.458571429,7.49,22.86014286,19.778,6.15913649016753
"cle200",0.06,0.15,4.58,3.24,9.99,11.96,1.61,47.92,5.14,4,13.95,63.68,55.66,94.61,200,20.975,14.53,0.023333333,8.95,7.66,24.025,19.976,7.30428154440357
"cle206",0.07,0.04,3.92,3.78,9.98,9.83,2.16,38.7,4.51,4.39,12.24,55.25,35.2,103.92,206,67.815,8.073333333,6.39,8.41,7.76,22.38233333,18.779,6.62712350348057
"cle212",0.08,0.07,4.13,3.81,8.93,10.36,1.56,10.05,4.7,4.26,18.45,22.18,49.44,85.96,212,38.75,10.02,5.47,8.66,7.99,22.519,21.373,6.75
"cle222",0.09,0.08,3.86,2.74,10.61,11.88,2.05,12.29,3.93,3.03,13.6,25.24,46.09,70.3,222,32.465,7.92,3.333333333,8.51,7.77,22.794,21.571,6.75
"cle229",0.08,0.19,3.34,3.03,9.61,9.9,2.52,3.2,3.39,2.91,7.79,11.12,52.52,79.61,229,6.33,13.17666667,0.353333333,8.72,7.563333333,23.324,22.034,2.36063526878199
