"year","month","mo.day","DOY","date","daily.total.mm","period"
"2017","Aug","0801",213,2017-08-01,0,"summerdraw"
"2017","Aug","0802",214,2017-08-02,0,"summerdraw"
"2017","Aug","0803",215,2017-08-03,0,"summerdraw"
"2017","Aug","0804",216,2017-08-04,16.8,"summerdraw"
"2017","Aug","0805",217,2017-08-05,0.8,"summerdraw"
"2017","Aug","0806",218,2017-08-06,0,"summerdraw"
"2017","Aug","0807",219,2017-08-07,2.8,"summerdraw"
"2017","Aug","0808",220,2017-08-08,0.4,"summerdraw"
"2017","Aug","0809",221,2017-08-09,0,"summerdraw"
"2017","Aug","0810",222,2017-08-10,0,"summerdraw"
"2017","Aug","0811",223,2017-08-11,3.2,"summerdraw"
"2017","Aug","0812",224,2017-08-12,0.6,"summerdraw"
"2017","Aug","0813",225,2017-08-13,0.2,"summerdraw"
"2017","Aug","0814",226,2017-08-14,0,"summerdraw"
"2017","Aug","0815",227,2017-08-15,2.2,"summerdraw"
"2017","Aug","0816",228,2017-08-16,0,"summerdraw"
"2017","Aug","0817",229,2017-08-17,8,"summerdraw"
"2017","Jul","0701",182,2017-07-01,3.6,"summerdraw"
"2017","Jul","0702",183,2017-07-02,0.2,"summerdraw"
"2017","Jul","0703",184,2017-07-03,0,"summerdraw"
"2017","Jul","0704",185,2017-07-04,0,"summerdraw"
"2017","Jul","0705",186,2017-07-05,0,"summerdraw"
"2017","Jul","0706",187,2017-07-06,0,"summerdraw"
"2017","Jul","0707",188,2017-07-07,0,"summerdraw"
"2017","Jul","0708",189,2017-07-08,0,"summerdraw"
"2017","Jul","0709",190,2017-07-09,0,"summerdraw"
"2017","Jul","0710",191,2017-07-10,12.6,"summerdraw"
"2017","Jul","0711",192,2017-07-11,0,"summerdraw"
"2017","Jul","0712",193,2017-07-12,5.2,"summerdraw"
"2017","Jul","0713",194,2017-07-13,7.6,"summerdraw"
"2017","Jul","0714",195,2017-07-14,0.6,"summerdraw"
"2017","Jul","0715",196,2017-07-15,0,"summerdraw"
"2017","Jul","0716",197,2017-07-16,5.4,"summerdraw"
"2017","Jul","0717",198,2017-07-17,0.2,"summerdraw"
"2017","Jul","0718",199,2017-07-18,0,"summerdraw"
"2017","Jul","0719",200,2017-07-19,0,"summerdraw"
"2017","Jul","0720",201,2017-07-20,16,"summerdraw"
"2017","Jul","0721",202,2017-07-21,0,"summerdraw"
"2017","Jul","0722",203,2017-07-22,1.4,"summerdraw"
"2017","Jul","0723",204,2017-07-23,1,"summerdraw"
"2017","Jul","0724",205,2017-07-24,24.8,"summerdraw"
"2017","Jul","0725",206,2017-07-25,0,"summerdraw"
"2017","Jul","0726",207,2017-07-26,1.8,"summerdraw"
"2017","Jul","0727",208,2017-07-27,5.6,"summerdraw"
"2017","Jul","0728",209,2017-07-28,0,"summerdraw"
"2017","Jul","0729",210,2017-07-29,0,"summerdraw"
"2017","Jul","0730",211,2017-07-30,0,"summerdraw"
"2017","Jul","0731",212,2017-07-31,0,"summerdraw"
"2017","Jun","0601",152,2017-06-01,0,"summerdraw"
"2017","Jun","0602",153,2017-06-02,0,"summerdraw"
"2017","Jun","0603",154,2017-06-03,0,"summerdraw"
"2017","Jun","0604",155,2017-06-04,10,"summerdraw"
"2017","Jun","0605",156,2017-06-05,0,"summerdraw"
"2017","Jun","0606",157,2017-06-06,0.8,"summerdraw"
"2017","Jun","0607",158,2017-06-07,0.6,"summerdraw"
"2017","Jun","0608",159,2017-06-08,0,"summerdraw"
"2017","Jun","0609",160,2017-06-09,0,"summerdraw"
"2017","Jun","0610",161,2017-06-10,0,"summerdraw"
"2017","Jun","0611",162,2017-06-11,0,"summerdraw"
"2017","Jun","0612",163,2017-06-12,0,"summerdraw"
"2017","Jun","0613",164,2017-06-13,0,"summerdraw"
"2017","Jun","0614",165,2017-06-14,0,"summerdraw"
"2017","Jun","0615",166,2017-06-15,5.8,"summerdraw"
"2017","Jun","0616",167,2017-06-16,0.2,"summerdraw"
"2017","Jun","0617",168,2017-06-17,13,"summerdraw"
"2017","Jun","0618",169,2017-06-18,27.4,"summerdraw"
"2017","Jun","0619",170,2017-06-19,0,"summerdraw"
"2017","Jun","0620",171,2017-06-20,5.6,"summerdraw"
"2017","Jun","0621",172,2017-06-21,2,"summerdraw"
"2017","Jun","0622",173,2017-06-22,4.6,"summerdraw"
"2017","Jun","0623",174,2017-06-23,82.2,"summerdraw"
"2017","Jun","0624",175,2017-06-24,0.2,"summerdraw"
"2017","Jun","0625",176,2017-06-25,4,"summerdraw"
"2017","Jun","0626",177,2017-06-26,3.6,"summerdraw"
"2017","Jun","0627",178,2017-06-27,3.4,"summerdraw"
"2017","Jun","0628",179,2017-06-28,0,"summerdraw"
"2017","Jun","0629",180,2017-06-29,6,"summerdraw"
"2017","Jun","0630",181,2017-06-30,4.4,"summerdraw"
