"Depth","parameter","pre","post","muldif","concdiff","percdiff"
"2","Al",-0.036,-0.061,1.69444444444444,-0.025,69.4444444444445
"2","Br",NA,0.12,NA,NA,NA
"2","Ca",65.49,52.52,0.801954496869751,-12.97,-19.8045503130249
"2","Cl",NA,12.2,NA,NA,NA
"2","DOC",5.3,5.05,0.952830188679245,-0.25,-4.71698113207547
"2","F",NA,0.04,NA,NA,NA
"2","Fe",0.033,0.054,1.63636363636364,0.021,63.6363636363636
"2","K",2.56,3.277,1.280078125,0.717,28.0078125
"2","Mg",19.28,14.59,0.756742738589212,-4.69,-24.3257261410788
"2","Mn",0.01,0.007,0.7,-0.003,-30
"2","Na",11.36,7.335,0.64568661971831,-4.025,-35.431338028169
"2","NH4",0.07,0.05,0.714285714285714,-0.02,-28.5714285714286
"2","NO2",0.05,0.06,1.2,0.01,20
"2","NO3",NA,5.65,NA,NA,NA
"2","SO4",NA,8.86,NA,NA,NA
"2","SRP",2.39,65.2,27.2803347280335,62.81,2628.03347280335
"2","TDN",5.6,5.86,1.04642857142857,0.260000000000001,4.64285714285716
"2","TDP",9.96,85.77,8.61144578313253,75.81,761.144578313253
"2","TP",14.99,103.48,6.90326884589726,88.49,590.326884589727
"7","Al",-0.034,-0.061,1.79411764705882,-0.027,79.4117647058823
"7","Br",0.09,0.09,1,0,0
"7","Ca",65.81,53.14,0.80747606746695,-12.67,-19.252393253305
"7","Cl",18.62,12.07,0.648227712137487,-6.55,-35.1772287862513
"7","DOC",5.27,4.8,0.910815939278937,-0.47,-8.91840607210626
"7","F",0,0.03,Inf,0.03,Inf
"7","Fe",0.034,0.053,1.55882352941176,0.019,55.8823529411764
"7","K",2.544,2.144,0.842767295597484,-0.4,-15.7232704402516
"7","Mg",19.16,14.59,0.761482254697286,-4.57,-23.8517745302714
"7","Mn",0.009,0.007,0.777777777777778,-0.002,-22.2222222222222
"7","Na",11.47,8.87,0.77332170880558,-2.6,-22.667829119442
"7","NH4",0.08,0.08,1,0,0
"7","NO2",0.05,0.07,1.4,0.02,40
"7","NO3",4.81,5.64,1.17255717255717,0.83,17.2557172557173
"7","SO4",11.27,7.67,0.680567879325643,-3.6,-31.9432120674357
"7","SRP",2.27,73.98,32.5903083700441,71.71,3159.03083700441
"7","TDN",5.52,5.73,1.03804347826087,0.210000000000001,3.80434782608697
"7","TDP",9.69,92.69,9.56553147574819,83,856.553147574819
"7","TP",12.75,116.31,9.12235294117647,103.56,812.235294117647
"16","Al",-0.028,-0.057,2.03571428571429,-0.029,103.571428571429
"16","Br",0.09,0.15,1.66666666666667,0.06,66.6666666666667
"16","Ca",67.15,63.44,0.944750558451228,-3.71000000000001,-5.52494415487715
"16","Cl",18.78,13.72,0.730564430244941,-5.06,-26.9435569755059
"16","DOC",5.51,5.51,1,0,0
"16","F",0.02,0.03,1.5,0.01,50
"16","Fe",0.037,0.058,1.56756756756757,0.021,56.7567567567568
"16","K",2.643,3.485,1.31857737419599,0.842,31.8577374195989
"16","Mg",18.98,17.51,0.922550052687039,-1.47,-7.7449947312961
"16","Mn",0.009,0.157,17.4444444444444,0.148,1644.44444444444
"16","Na",11.22,8.842,0.788057040998217,-2.378,-21.1942959001783
"16","NH4",0.17,0.31,1.82352941176471,0.14,82.3529411764706
"16","NO2",0.09,0.08,0.888888888888889,-0.01,-11.1111111111111
"16","NO3",4.98,5.06,1.01606425702811,0.0799999999999992,1.60642570281123
"16","SO4",11.19,10.64,0.950848972296694,-0.549999999999999,-4.91510277033064
"16","SRP",31.25,61.21,1.95872,29.96,95.872
"16","TDN",5.78,5.53,0.956747404844291,-0.25,-4.32525951557093
"16","TDP",40.17,76.62,1.90739357729649,36.45,90.739357729649
"16","TP",43.89,118.78,2.70631123262702,74.89,170.631123262702
